internalTaxonId,description,conservationActionsDescription,habitatDescription,useTradeDescription,threatsDescription,populationDescription
78521208,"Listed as Vulnerable because its extent of occurrence (EOO) is 7,399 km<sup>2</sup>, its population is considered to be severely fragmented, and there is continuing decline in the extent and quality of its habitat.","<strong><em>Conservation Actions In-Place</em></strong><br/>This species occurs in the Kali Tiger Reserve, Sharavathi Wildlife Sanctuary and Mookambika Wildlife Sanctuary.<br/><br/><strong><em>Conservation Needed</em></strong><br/>Improved habitat protection is required, as well as the education of tourists on their littering behaviours (India Red List Assessment Workshop September 2020). Educating farmers about sustainable use of leaf litter and pruning of green leaves will also promote the conservation of the habitat of this species (K.G. Girish pers. comm. September 2020).<br/><br/><strong><em>Research Needed</em></strong><br/>Further research is required on its distribution and natural history, particularly on breeding behaviour, ecology, and parental care (Gururaja <em>et al.</em> 2014). Population monitoring is also recommended (India Red List Assessment Workshop September 2020). There is some confusion with the field identification between this species,&#160;<em>N. kamatakaensis</em>, and&#160;<em>N. grandis</em>&#160;and further genetics and acoustic research would be useful to determine each of their true distributions (India Red List Assessment Workshop October 2020).",This species is restricted to perennial streams of evergreen and semi-evergreen forests (Gururaja <em>et al. </em>2014). It will not tolerate habitat disturbance and loss (Gururaja K.V.&#160;pers. comm. September 2020). Parental care by males consists of packing the egg clutch with mud (Gururaja <em>et al. </em>2014).,There are no records of this species being utilized.,"There is an ongoing loss of natural habitats due to anthropogenic disturbance over much of the Western Ghats. This is caused by the development of roads and road widening (Gururaja K.V.&#160;pers. comm. September 2020), small-scale plantations, illegal encroachment and unsustainable harvesting of tree species (India Red List Assessment Workshop September 2020).&#160;<span id=""docs-internal-guid-17b4ffe0-7fff-e23f-e3bc-7ed99f31941b"">The conversion of land to any plantation results in the removal of the understorey vegetation, and traditional farming practices (Soppinabetta) in the area causes the removal of leaf litter which results in the loss of breeding sites and causes disturbance to breeding activity (India Red List Assessment Workshop September 2020). Stream water diversion for drinking and agriculture purposes is reducing water flow in the upper parts of streams throughout its range (K.G. Girish pers. comm. September 2020). Plastic pollution caused by tourists is a problem and tourists also cause species disturbance in the stream habitats, especially during monsoon season when tourism activity increases (India Red List Assessment Workshop September 2020).<span><br/><span><br/><em>Batrachochytrium dendrobatidis&#160;</em>(<em>Bd</em>) has been confirmed in the genus, with morbidity observed but no mortalities to date, but further studies required to investigate full effects on this species (India Red List Assessment Workshop September 2020).</span>","It is considered locally abundant in the surroundings of the type locality (Gururaja<em> et al. </em>2014). During 2006-2010, mark recapture studies recorded 18-22 individuals in a 10x10 m area (K.G. Girish pers. comm. September 2020). <span id=""docs-internal-guid-28a61f28-7fff-8acb-fe2c-f85eca788667"">It is restricted to remnant forest habitat throughout its range due to the unsuitable habitat of the surrounding agricultural matrix, its population is therefore assumed to be severely fragmented.&#160;Due to ongoing decline in the extent and quality of its habitat, the population is inferred to be decreasing."
79080668,"Listed as Endangered because its extent of occurrence (EOO) is 1,985 km<sup>2</sup>, it occurs in four threat-defined locations, its range is severely fragmented, and there is continuing decline in the extent and quality of its habitat due to human activities.","<strong><em>Conservation Actions In-Place</em></strong><br/>This species is present in the sacred groves of Mawphlang, a forest patch protected by the local community, where tree harvesting and biodiversity removal are prohibited (Das <em>et al</em>. 2010). The forest relies on the protection of the local people that believe it is sacred, but this belief is lessening and the forest is increasingly under threat (J. Purkayastha pers. comm. September 2020). It also occurs in Nokrek Biosphere Reserve and National Park. <br/><br/><strong><em>Conservation Needed</em></strong><br/>Further habitat protection is required. <br/><br/><strong><em>Research Needed</em></strong><br/>Research on distribution, population and conservation needs are recommended for this taxon (Mahony <em>et al</em>. 2013).","This species inhabits subtropical wet hill forest dominated by pine <em>Pinus kesiya</em> plantations, and broadleaf forest, where it was recorded along streams sections subject to low levels of human disturbance, on the lower branches of bushy vegetation, rocks on the stream banks and trails (Mahony <em>et al.</em> 2013). It is thought to be restricted to forest (S. Mahony pers. comm. September 2020), and is unlikely to tolerate any habitat loss and disturbance. It is a larval developer.","There is no evidence of this species being eaten, and it is a relatively small species.","Mawphlang Sacred Forest is protected by the local community, and is a small (7x3 km) patch of forest that is isolated from other forest habitat and surrounded by grassland. Locals use the streams for washing clothes and dishes and the detergent that they use is polluting the streams (Mahony <em>et al.</em> 2013). The main washing area for the town is where the stream runs into the forest (S. Mahony pers. comm. September 2020). Uncontrolled tourism is resulting in the building of tourism facilities and disturbance from tourists, and is an increasing, and the most significant threat to the species' habitat at present (J. Purkayastha pers. comm. September 2020).<br/><br/>In Shillong urban development is intensifying and in particular pollution from domestic waste is increasing which is significantly degrading the streams (J. Purkayastha pers. comm. September 2020). Malki forest is being heavily impacting by the expansion of the city of Shillong (J. Purkayastha pers. comm. September 2020).","It is a relatively abundant species (S. Mahony pers. comm. September 2020). It has not been recorded in congregations, but where there is good habitat they spread along the streams&#160;(S. Mahony pers. comm. September 2020). Its range is considered to be severely fragmented as there is very little suitable habitat available between known locations."
79095367,"Listed as Endangered because its extent of occurrence (EOO) is&#160;1,693&#160;km<sup>2</sup>, its population is considered to be severely fragmented, it occurs in five threat-defined locations, and there is continuing decline in the extent and quality of its habitat.","<strong><em>Conservation Actions In-Place</em></strong><br/>This species occurs in Kulathupuzha Reserve Forest, Neyyar Wildlife Sanctuary, Shendurney Wildlife Sanctuary, Peppara Wildlife Sanctuary and Vazhachal Reserve Forest. At least 50% of the population occurring within these areas (India Red List Assessment Workshop September 2020), which all have varying levels of protection.<br/><br/><strong><em>Conservation Needed</em></strong><br/>Improved habitat protections is required. Conservation programmes to restore its critical habitat are also highly recommended for this taxon (Abraham <em>et al.</em> 2013).<br/><br/><strong><em>Research Needed</em></strong><br/>Further research is required on its life history, and the species-specific effects of climate change and&#160;<em>Bd</em>. Population and habitat monitoring is also recommended&#160;(India Red List Assessment Workshop September 2020).","This species primarily inhabits lowland swampy areas dominated by <em>Myristica </em>forest, where it breeds on the muddy banks of small rivulets (Abraham <em>et al.</em> 2013). It is unknown whether it can tolerate any habitat disturbance, but is unlikely to persist with the current threats that are occurring within its range (S. Das and N. Modak pers. comm. September 2020). It breeds by larval development, and its breeding ecology and advertisment call is described by Abraham <em>et al</em>. (2018).",There are no records of this species being utilized.,"The main threat is habitat conversion to a small number of fragmented forest patches outside and inside protected areas (Abraham&#160;<em>et al.</em>&#160;2013). Outside of protected areas, development for human settlements and conversion of habitat to rubber and pineapple plantations are major threats to this species (India Red List Assessment Workshop September 2020).&#160;Climate change is a potential future threat which may result in changes in monsoon season which is likely to affect its breeding activity (Abraham <em>et al.</em> 2018, India Red List Assessment Workshop September 2020).<br/><br/><em>Batrachochytrium dendrobatidis&#160;</em>(<em>Bd</em>) has been found in nearby areas to this species range, but further studies are required to determine whether this is a threat to this species (India Red List Assessment Workshop September 2020).","It is considered to be an uncommon species, with only a couple of individuals found at a time (S. Das pers. comm. September 2020).&#160;More than half (&gt; 50%) of the individuals (or more than half of the occupied habitat area) are in small and isolated patches between which there is little to no dispersal. The population is therefore considered to be severely fragmented. Due to ongoing decline in the extent and quality of its habitat, the population is inferred to be decreasing."
79719834,"Listed as Endangered because its extent of occurrence (EOO) is 671 km<sup>2</sup>, it is known from four to five threat-defined locations, and there is ongoing decline in the quality and extent of its habitat.","<strong><em>Conservation Actions In-Place</em></strong><br/>This species occurs in Indira Gandhi Tiger Reserve, Eravikulam National Park and Periyar Tiger Reserve, with more than 50% of the population occurring in these areas (S. Das pers. comm. November 2020).&#160;<br/><br/><strong><em>Conservation Needed</em></strong><br/>Habitat protection and habitat restoration programs are of particular importance for this species&#160;(Abraham <em>et al. </em>2013).<br/><br/><strong><em>Research Needed<br/></em></strong>Further research on its distribution, and the effects of <em>Bd</em> and climate change are also required. Population monitoring is also recommended (S. Das pers. comm. November 2020).","This primarily arboreal species inhabits mid- to high-elevation evergreen forests, where it has been recorded near seasonal highland swamps or marshes. It is unlikely to tolerate any level of habitat disturbance or loss (S. Das pers. comm. November 2020). It breeds from April to July, when hundreds of males migrate and aggregate in the periphery of dry moist swamp beds perching on shrubs and bushes. Eggs are laid scattered on moist soil or grassy substrate; clutches comprise 175 eggs. Posterior rain events allow the water level to rise due and therefore the completion of the life cycle&#160;(Abraham<em> et al.</em> 2013).",There are no records of this species being utilized.,"Habitat loss and degradation due to agricultural development, in particular cardamon and tea plantations, are major threats to the taxon (Abraham <em>et al.</em> 2013). Pesticide use is also considered as a threat (S. Das pers. comm. November 2020). Monsoon changes associated with climate change could be a possible future threat, which may affect the breeding activity of this species (India Red List Assessment Workshop November 2020).<br/><br/><span id=""docs-internal-guid-fc45f66a-7fff-2bd3-3292-6bc1fdad04f6""><em>Batrachochytrium dendrobatidis</em> (<em>Bd</em>) is considered a possible threat, but further research is required to understand the full effects on this species (S. Das pers. comm. November 2020).","It is considered to be common during their breeding season (S. Das pers. comm. November 2020). Outside of the breeding season, it is found in the canopy or under logs (S. Das pers. comm. November 2020). Due to ongoing decline in the extent and quality of its habitat, the population is inferred to be decreasing."
88368304,"Listed as Endangered because its extent of occurrence (EOO) is 43 km<sup>2</sup>, it occurs in five or fewer threat-defined locations, and there is continuing decline in the extent and quality of its habitat particularly from the projected impacts of hydropower schemes.","<strong><em>Conservation Actions In-Place<br/></em></strong>This species is present in Eaglenest Wildlife Sanctuary (Athreya 2006).<br/><br/><strong><em>Conservation Needed</em></strong><br/>Further habitat protection is required.&#160;<br/><strong><em><br/></em></strong><strong><em>Research Needed<br/></em></strong>More information is needed on this species' distribution, population status and ecology.","This species inhabits subtropical forest, where it has been reported from the banks of shallow streams that flow through an area of dense bushy vegetation surrounded by selectively logged forests (Mahony<em> et al.</em> 2013). It is expected to breed by larval development, as with its congeners.","There are no records of this species being utilized, however, it is unlikely to be eaten as it is very small (S. Mahony pers. comm. September 2020).","Threats to this species at its two known localities are not confirmed and it is unknown how densely populated Eaglenest Wildlife Sanctuary is with humans, however, there are substantial threats in Arunachal Pradesh as a whole. Major potential threats to this taxon are habitat modification due to deforestation, agricultural expansion (particularly jhum cultivation - a type of slash and burn agriculture) and hydroelectric projects, and stream pollution from domestic sources (Mahony <em>et al.</em> 2018). In Arunachal Pradesh, there are many large hydroelectric power plants in the planning or early development phase, for example, Dibang and Etalin are two of the largest with a 3,000 MW capacity. These projects require the construction of large dams that will result in habitat loss, and will remove water from the surrounding rivers and streams, substantially changing the hydrology of the region (India Red List Assessment Workshop September 2020).","The original type series consists of only a few specimens.&#160;Due to ongoing decline in the extent and quality of its habitat, the population is inferred to be decreasing."
88378128,"Listed as Endangered because its extent of occurrence (EOO) is 1,073 km<sup>2</sup>, it occurs in five or fewer threat-defined locations, and there is continuing decline in the extent and quality of its habitat.","<strong><em>Conservation Actions In-Place</em></strong><br/>This species occurs in Anamalai Tiger Reserve, however, the majority of this species' population occurs outside of this area (S.D. Biju and S. Garg pers. comm. June 2021).<br/><br/><strong><em>Research Needed</em></strong><br/>Further research is needed on its distribution, population status, natural history, and the effect of&#160;<em>Bd</em>&#160;and other threats (India Red List Assessment Workshop September 2020).","This species inhabits forests, where it has been observed in the riparian forest floor on moist dead leaves near streams (Biju <em>et al. </em>2011). It is also known from tea plantations where streams have become marshy bogs, in stagnant waters, marshy areas with invasive plant species so it may be tolerant to habitat disturbance (V. Sankaraman and S.R. Ganesh pers. comm. September 2020), however this is uncertain at present (S. Garg pers. comm. June 2021). It breeds by larval development. It is one of the smallest frogs in the country (India Red List Assessment Workshop September 2020).",There are no records of this species being utilized.,"This species occurs largely outside of protected areas, so habitat loss and fragmentation due to small and large-scale plantations and associated pollution are threats (S.D. Biju and S. Garg pers. comm. June 2021). Nelliyampathi is a popular, local tourism destination so there is also disturbance of the habitat from tourism (S.D. Biju and S. Garg pers. comm. June 2021). Road mortalities are considered to be a minor threat in parts of its range (S.R. Chandramouli pers. comm. September 2020).&#160;<br/><br/><em>Batrachochytrium dendrobatidis&#160;</em>(<em>Bd</em>) has been confirmed in the genus (<span id=""docs-internal-guid-f552d78d-7fff-2963-4e64-094bdd7da5fe"">Mutnale&#160;<em>et al.&#160;</em>2018), with morbidity observed but no mortalities to date, but further studies are required to investigate the full effects on this species (India Red List Assessment Workshop September 2020).<span></span>","It is extremely common, and is encountered more frequently in the higher elevations of its range (V. Sankaraman pers. comm. September 2020). Due to ongoing decline in the extent and quality of its habitat, the population is inferred to be decreasing."
89183211,"Listed as Vulnerable because its extent of occurrence (EOO) is 10,701 km<sup>2</sup>, it occurs in four threat-defined locations, and there is continuing decline in the extent and quality of its habitat.","<strong><em>Conservation Actions In-Place</em></strong><br/>This species is found in Netravali Wildlife Sanctuary.<br/><br/><strong><em>Conservation Needed</em></strong><br/>Improved and expanded habitat protection is required.<br/><br/><strong><em>Research Needed</em></strong><br/>Further research on the distribution, as well as, the species-specific effects of <em>Bd</em>&#160;and climate change is necessary (Modak&#160;<em>et al.&#160;</em>2015, N. Modak pers. comm. September 2020). Population monitoring is also recommended, and genetic markers will also be useful to ensure correct identification in the field (N. Modak pers. comm. September 2020).","This species inhabits semi-evergreen secondary forests in splash zones near riparian habitats, and has been recorded from a spice farm under leaf litter and on exposed laterite (Modak <em>et al.</em> 2015, Garg and Biju 2016). It has also been found near human settlements in the outskirts of the forests (N. Modak pers. comm. September 2020). While it will tolerate a degree of habitat disturbance, it will not tolerate the complete opening up of its habitat as it requires canopy cover or the loss of its stream habitats (N. Modak pers. comm. September 2020). It breeds by larval development, and has semi-aquatic tadpoles (N. Modak pers. comm. September 2020).",There are no records of this species being utilized.,"The major threats to this species are habitat destruction and conversion caused by development for human settlements (towns) and agriculture, including cashew plantations (T.D. Jadhav pers. comm. September 2020), spice farms and orchards (N. Modak pers. comm. September 2020). While this species has been found in a spice farm, the intensification and increasing conversion of forest&#160;for this purpose and into orchards will be a problem for the species (N. Modak pers. comm. September 2020).&#160;A major threat to the species is the widespread application of shotcrete to prevent landslides along roadsides as this practice destroys the rock crevices on which this species depends for breeding (N. Modak and K. Krutha pers. comm. October 2020). Subsistence logging is a localised threat; and climate change is a potential future threat to this species, which may cause a delay in the monsoon season and affect the breeding season of this species (N. Modak pers. comm. September 2020).<br/><br/><em>Batrachochytrium dendrobatidis</em>&#160;(Bd) has been confirmed in other species within this species' range, but further studies are required to investigate whether it will be a threat for this species (India Red List Assessment Workshop September 2020).","This species is considered to be common. Due to ongoing decline in the extent and quality of its habitat, the population is inferred to be decreasing."
121370882,"Listed as Endangered because its extent of occurrence (EOO) is 470 km<sup>2</sup>, it occurs in three to five threat-defined locations, and there is continuing decline in the extent and quality of its habitat.","<strong><em>Conservation Actions In-Place</em></strong><br/>This species is present in Shendurney Wildlife Sanctuary, Neyyar Wildlife Sanctuary and Peppera Wildlife Sanctuary.<br/><strong><em><br/></em></strong><strong><em>Conservation Needed</em></strong><br/>Continued rigorous management of the existing parks is the best guarantee for the conservation of this species.<strong><em><br/></em></strong><strong><em><br/></em></strong><strong><em>Research Needed</em></strong><br/>More information is needed on this species' distribution and ecology.","This species inhabits temporary puddles within secondary forest, where it has been found on the vegetated edges of large rocky areas. It has also been found in roadside forest patches, laterite patches, plantations and in tribal settlements (S. Garg and S.D. Biju pers. comm. August 2021). It may tolerate a degree of habitat disturbance and does not always requires canopy cover (Chandramouli S.R. and S. Das pers. comm. October 2020; S. Garg and S.D. Biju pers. comm. August 2021). It presumably breeds between May and June (Garg and Biju 2017) and is thought to breed by larval development, as with congeners.",There are no records of this species being utilized.,Subpopulations of this species outside of protected areas are likely threatened by the roads and other infrastructure development for human settlements (S. Garg and S.D. Biju pers. comm. August 2021). Pesticide and chemical fertilizer use will also be an additional threat for subpopulations found in and near plantation areas (S. Garg and S.D. Biju pers. comm. August 2021).,"This species is considered to be locally abundant throughout its range. However, due to ongoing decline in the extent and quality of its habitat, the population is inferred to be decreasing."
165414176,"Listed as Endangered, on a precautionary basis, because its extent of occurrence (EOO) is 260 km<sup>2</sup>, it is estimated to occur in two threat-defined locations, and there is continuing decline in the extent and quality of its habitat.","<strong><em>Conservation Actions In-Place</em></strong><br/>This species does not occur in any protected areas, but it may be found in the Bhagwan Mahaveer Wildlife Sanctuary, Mollem National Park and Cotigoa Wildlife Sanctuary in Goa and Kali Tiger Reserve in Karnataka, which are the closest protected areas to its known range (K.V. Gururaja pers. comm. December 2020).<br/><br/><strong><em>Conservation Needed</em></strong><br/>In light of the threats posed by agricultural chemicals and road construction, strict protection of existing protected areas is required to safeguard suitable habitat for this species. The creation of additional protected areas should also be considered.<br/><br/><strong><em>Research Needed</em></strong><br/>Additional systematic surveys are recommended to establish its range limits, as well as phylogenetic studies (Dinesh <em>et al.</em> 2017).","At the type locality, the species was recorded on a lateritic plateau in a forest and a surrounding grassland paddy field within a village, on stagnant mud pools (Dinesh <em>et al. </em>2017). At Kadra, it has been found&#160;in agricultural fields, lowland scrub forest, and on laterite outcrops (K.V.&#160;Gururaja pers. comm. December 2020). It may tolerate a degree of habitat degradation, inferred from the habitats in which it has been found (K.V.&#160;Gururaja pers. comm. December 2020). It is presumed to breed by larval development, as with its congeners.",There are no records of this species being utilized.,"Widespread intensive agriculture with pesticides and chemical fertilizer use, and the expansion of roads, could pose serious problems to the species' breeding sites (K.V.&#160;Gururaja pers. comm. December 2020).","Dinesh <em>et al.</em> (2017) consider the taxon to be locally abundant during observations carried out between June and August 2016 at the type locality, and it is considered to be common at Kadra (K.V.&#160;Gururaja pers. comm. December 2020). Due to ongoing decline in the extent and quality of its habitat, the population trend is inferred to be decreasing."
88369128,"Listed as Vulnerable because its extent of occurrence (EOO) is 8,102 km<sup>2</sup>, it occurs in 10 or fewer threat-defined locations, and there is continuing decline in the extent and quality of its habitat.","<strong><em>Conservation Actions In-Place</em></strong><br/>This species occurs in many protected areas including Bhadra Wildlife Sanctuary, with the majority of these areas being community reserves; all of which have a mixed level of protection (M. Mudke pers. comm. October 2020). It is thought that less than 50% of the population is present in these protected areas.<br/><br/><strong><em>Conservation Needed</em></strong><br/>Improved habitat protection is required, and regulations/guidelines should be developed for tourists to reduce their species disturbance behaviours (M. Mudke pers. comm. October 2020).<br/><br/><strong><em>Research Needed</em></strong><br/>Further research is required on its distribution, ecology, breeding biology, and the species-specific effects of <em>Bd </em>and climate change. Population monitoring is also recommended.",The primary habitat for this species is fast-flowing streams and rivulets in primary and secondary rainforests (Biju<em> et al.</em> 2014). It is also found in <em>Myristica</em> swamps (M. Mudke pers. comm. October 2020). It is unlikely to tolerate habitat disturbance and loss (M. Mudke pers. comm. October 2020). It breeds by larval development (M. Mudke pers. comm. October 2020). Eggs take 16 days to hatch and it has fossorial tadpoles&#160;(Mudke&#160;<em>et al</em>. 2020).,There are no records of this species being utilized.,"The major threat to the species is general habitat loss as a result of agriculture, including paddy fields and cash crops such as coconut, areca nut, coffee and cashews (M. Mudke pers. comm. October 2020).&#160;Stream diversion for water irrigation systems, pollution from agricultural runoff (including pesticide use), and the development of small check dams are also threats (M. Mudke pers. comm. October 2020). Tourism may be causing species and habitat disturbance due to people walking in streams for photography purposes, with this species being particularly popular for photography (M. Mudke pers. comm. October 2020). The effects of climate change may also lead to increased flooding as well as unpredictability in rainfall (<em>e.g</em>., Ravindranath&#160;<em>et al</em>. 2005, Chaturvedi&#160;<em>et al</em>. 2012) which are a threat to this species (M. Mudke pers. comm. October 2020).<br/><em><br/></em>This genus has been found to have the highest prevalence of&#160;<em>Batrachochytrium dendrobatidis</em>&#160;(<em>Bd</em>) (~20%) among all frogs in the Western Ghats (Mutnale&#160;<em>et al</em>. 2018), and further studies are required to investigate the full effects on this species as chytridiomycosis could be a potential threat (K. Vasudevan pers. comm. March 2021).","It is relatively abundant (Biju<em> et al</em>. 2014, M. Mudke pers. comm. October 2020). Due to ongoing decline in the extent and quality of its habitat, the population is inferred to be decreasing."
88378424,"Listed as Endangered because its extent of occurrence is 1,610 km<sup>2</sup>, its population is severely fragmented, and there is continuing decline in the extent and quality of its habitat in the Western Ghats of India.","<strong><em>Conservation Actions In-Place<br/></em></strong>This species occurs in Neyyar Wildlife Sanctuary, Peppara Wildlife Sanctuary, and Shendurney Wildlife Sanctuary in Agasthyamala Biosphere Reserve, Kalakad Mundanthurai Tiger Reserve, and Ponmudi Reserve Forest (India Red List Assessment Workshop September 2020).<br/><br/><strong><em>Conservation Needed</em></strong><br/>Improvement of habitat protection is required including restricting the number of tourists in certain reserves, and educating visitors to prevent pollution from littering and of stream habitats (India Red List Assessment Workshop September 2020).<br/><br/><strong><em>Research Needed</em></strong><br/>Research is required on the effect of threats on this species including the effects of pesticides from tea plantations,&#160;<em>Bd</em>, greywater, and dams, with the outcomes of this research used to inform future conservation actions (India Red List Assessment Workshop September 2020). Population monitoring is also recommended (India Red List Assessment Workshop September 2020).","This species is associated with evergreen and semi-evergreen moist and deciduous forest. It is a semi-terrestrial frog that is largely found in the leaf-litter, under rocks and logs, and also inhabits rivulets near flowing streams and wet litter-covered rocks (Biju<em>&#160;et al.</em>&#160;2011).&#160;Breeding is by larval development in streams. It is not found in agricultural areas.<br/><br/><em>Nyctibatrachus minor</em> is a sympatric species (India Red List Assessment Workshop September 2020).",There are no records of this species being utilized.,"Outside of protected areas, the forest habitat of this species is being converted to subsistence and cash crop agriculture (including tea plantations), and it is being deforested for timber by local people. The construction of medium-sized and large-sized dams is also a threat (India Red List Assessment Workshop September 2020). In Kerala, Athirumala in Agasthyamala Biosphere Reserve, an annual pilgrimage takes place involving hundreds of people per day during the duration of a month (Jan-Mar). This degrades the area with litter, through firewood collection, and may be causing some disturbance to its breeding activity (India Red List Assessment Workshop September 2020). Road mortalities also occur in Ponmudi and Bonaccaud region&#160;(India Red List Assessment Workshop September 2020). Tourism in Ponmudi is also causing species disturbance, and is considered to be minor threat to the species (India Red List Assessment Workshop September 2020).<br/><br/><span id=""docs-internal-guid-0dcba192-7fff-c93e-8908-c9836bf71187""><em>Batrachochytrium dendrobatidis </em>(<em>Bd</em>) has been confirmed in the genus (Mutnale <em>et al. </em>2018), with morbidity observed but no mortalities to date. Further studies are required to investigate the full effects on this species (India Red List Assessment Workshop September 2020).","The population is naturally fragmented due to the patchy distribution of its stream and swamp habitat, but is considered to be locally common where it occurs (India Red List Assessment Workshop September 2020). Furthermore, the population is considered severely fragmented due to habitat loss&#160;throughout its range, and the lack of connectivity between more than half of the known localities due to the unsuitable habitat of the surrounding agricultural matrix. Due to ongoing decline in the extent and quality of its habitat, the population is inferred to be decreasing."
88378891,"Listed as Endangered because its extent of occurrence is 286 km<sup>2</sup>, it occurs in five or fewer threat-defined locations, and there is a continuing decline in the extent and quality of its forest habitat.","<strong><em>Conservation Actions In-Place</em></strong><br/>This species has been recorded from Eravikulam National Park in Kerala and Anamalai National Park in Tamil Nadu. The majority of the known subpopulations are in protected areas.<br/><br/><em><strong>Conservation Needed<br/></strong></em>Expansion of effective forest preservation and continued management of existing protected areas is essential for the conservation of this species.<br/><br/><strong><em>Research Needed</em></strong><br/>Further research on its distribution, population status, ecology, and the effects of <em>Bd</em> are required.",This species occurs in riparian habitats and streams within forest; it is not tolerant of disturbance and is not present in degraded areas.&#160;The records from the Anamudi summit were collected from wet moss-covered rocks in the vicinity of water bodies (Biju <em>et al.</em> 2011). It breeds by larval development in streams.,There are no records of this species being utilized.,"The major threat is the loss of habitat following conversion to both non-timber (tea) and timber plantations (pine and eucalyptus), and exploitation for timber and wood by local people, but this is occurring outside of the reserve forest and most populations are currently in protected areas.<br/><br/><em>Batrachochytrium dendrobatidis</em>&#160;(<em>Bd</em>) has been confirmed in the genus (<span id=""docs-internal-guid-f552d78d-7fff-2963-4e64-094bdd7da5fe"">Mutnale&#160;<em>et al.&#160;</em>2018), with morbidity observed but no mortalities to date, but further studies required to investigate full effects on this species (India Red List Assessment Workshop March 2021).","It is a tiny species, and so can be difficult to locate. It is easier to find during the breeding season but is not a common species (S. Garg and S.D. Biju pers. comm. March 2021).&#160;Due to ongoing decline in the extent and quality of its habitat, the population is inferred to be decreasing."
33608,"<em>Atuna travancorica</em> is a small tree endemic to the low elevation rainforests of the southern Western Ghats mountains in southwest India. The area of occupancy (AOO) is 28 km<sup>2</sup> and extent of occurrence (EOO) is 3,228 km<sup>2</sup>. It is found only in six subpopulations with fewer than 250 mature individuals, with the largest subpopulation containing fewer than 50 mature individuals, within an elevation range of 200-800 m. The species occupies the understory of forests and the largest subpopulation observed is along the endangered low elevation riparian forests of the Vazhachal Forest Division and Parambikulam Tiger Reserve of the Anamalai landscape. The habitat has degraded by up to 50-84 % over the past three generations (90 years) and an equivalent rate of decline in the population is suspected. Hence, the species is assessed as Critically Endangered (CR).",No species specific conservation and management plans are in place.,"<em>Atuna travancorica</em> is a small tree of the low elevation forests of the southern Western Ghats mountain ranges between 200-800 m elevations. The species occupies its understory of the forests and the largest subpopulation observed is along the Endangered low elevation riparian forests of the Vazhachal Forest Division and Parambikulam Tiger Reserve of the Anamalai landscape. The species is associated with <em>Knema attenuata, Humboltdia vahliana, Hopea parviflora </em>etc (Amitha Bachan 2010).",There is no use and trade information regarding this species.,"Its habitat is being cleared mainly for forestry and agro-monoculture plantations, dams and reservoirs.",<em>Atuna travancorica</em> is a small endemic tree of the tropical low elevation rainforests of the southern Western Ghats of southwest India. The species has only six subpopulations represented with six collection records. The largest subpopulation is within the Vazhachal forest and Parambikulam Tiger Reserve of the Anamalai landscape with an estimated number of mature individuals of fewer than 50. The number of mature individuals for all the subpopulations is less than 250 (Amitha Bachan 2010). The habitat has degraded by up to 50-84 % over the past three generations (90 years) and a subsequent decline in population is suspected.
169056310,"<em>Calophyllum austroindicum&#160;</em>is a 30 m high, canopy, evergreen tree species endemic to medium elevation rainforest of the southern Western Ghats found only in an elevation of 1,100-1,800m. The area of occupancy (AOO) is 60 km<sup>2</sup> and extent of occurrence (EOO) is 7,753 km<sup>2</sup>. The species is one important component of the dominant associations of the medium elevation rainforest seen associated with <em>Cullenia exarillata, Palaquium ellipticum </em>and<em> Myristica dactyloides </em>etc. The species is found in only 13 subpopulations with a population size of &lt; 8,500 mature individuals. There is an inferred population size reduction of 30% over the past three generations, based on habitat decline due to conversion for plantations, dams and reservoirs and the species was also selectively extracted for timber. The causes of reduction is not reversible. Hence it is assessed as Vulnerable (VU).",No species-specific conservation and management plans are in place. The species is assessed as possibly threatened in Tamil Nadu (BGCI 2023).,"<em>Calophyllum austroindicum&#160;</em>is a large tree (up to 30 m tall) of the medium-elevation tropical rainforests forests of the south Western Ghats having a narrow habitat range between 1,100-1,800 m elevations. The species forms an important component of the canopy associations in the medium-elevations associated with<em> Cullenia exarillata, Palaquium ellipticum, Myristica dactyloides, Actinodaphne bourdillonii etc.&#160;</em>",This species is traditionally harvested for timber continuing in minor scale.,"The habitats have been cleared mainly for forestry and agro-monoculture plantations, dams and reservoirs, and infrastructure development. Historic timber extraction has been a major threat to the species in the past.","<em>Calophyllum austroindicum</em> is a large tree of tropical rainforests. The species is endemic to the southern Western Ghats and has 13 subpopulations with an estimated number of mature individuals of about 8,500. The species has experienced a population reduction over the last three generations (120 years) of 30%&#160; due to plantations, dams, reservoirs, infrastructure development&#160;and timber extraction. Due to current protective measures the current population trend is stable."
