internalTaxonId,actionCode,actionName
15954,4.2,Training
15954,3.4.1,Captive breeding/artificial propagation
15954,2.1,Site/area management
219,3.1.1,Harvest management
219,3.1.2,Trade management
219,6.4,Conservation payments
219,6.5,Non-monetary values
219,5.4.1,International level
219,3.2,Species recovery
219,5.4.3,Sub-national level
219,3.3.1,Reintroduction
219,3.4.1,Captive breeding/artificial propagation
219,3.4.2,Genome resource bank
219,1.1,Site/area protection
219,2.1,Site/area management
219,2.3,Habitat & natural process restoration
219,1.2,Resource & habitat protection
219,4.1,Formal education
219,5.4.2,National level
219,4.2,Training
219,4.3,Awareness & communications
219,5.1.2,National level
219,6.1,Linked enterprises & livelihood alternatives
219,5.2,Policies and regulations
61780183,3.4.1,Captive breeding/artificial propagation
61780183,1.2,Resource & habitat protection
61987931,3.4.2,Genome resource bank
61987931,2.1,Site/area management
61987931,2.3,Habitat & natural process restoration
61987931,4.3,Awareness & communications
62038695,3.3.1,Reintroduction
62038695,3.4.1,Captive breeding/artificial propagation
62038695,3.4.2,Genome resource bank
