internalTaxonId,threatCode,threatName,stressCode,stressName,severity
150087897,5.3.3,Unintentional effects: (subsistence/small scale) [harvest],1.1|1.2,Ecosystem conversion|Ecosystem degradation,Unknown
150088659,9.4,Garbage & solid waste,1.2,Ecosystem degradation,
150088659,2.2.1,Small-holder plantations,1.1|1.2,Ecosystem conversion|Ecosystem degradation,
150088659,3.2,Mining & quarrying,1.1|1.2,Ecosystem conversion|Ecosystem degradation,
150088659,11.5,Other impacts,1.2|2.1,Ecosystem degradation|Species mortality,
150088659,6.3,Work & other activities,1.2|2.2,Ecosystem degradation|Species disturbance,
150088659,1.1,Housing & urban areas,1.1|1.2,Ecosystem conversion|Ecosystem degradation,
150088659,4.1,Roads & railroads,1.1|1.2,Ecosystem conversion|Ecosystem degradation,
152958245,2.1.3,Agro-industry farming,,,
152958245,2.1.2,Small-holder farming,,,
152958245,2.2.2,Agro-industry plantations,,,
152958245,2.2.1,Small-holder plantations,,,
153115088,2.1.3,Agro-industry farming,,,
153115088,2.1.2,Small-holder farming,,,
153115088,2.2.2,Agro-industry plantations,,,
153115088,2.2.1,Small-holder plantations,,,
153116010,2.1.3,Agro-industry farming,,,
153116010,2.1.2,Small-holder farming,,,
153116010,2.2.2,Agro-industry plantations,,,
153116010,2.2.1,Small-holder plantations,,,
153116061,2.1.3,Agro-industry farming,,,
153116061,2.1.2,Small-holder farming,,,
153116061,2.2.2,Agro-industry plantations,,,
153116061,2.2.1,Small-holder plantations,,,
209668480,2.1.2,Small-holder farming,1.1|1.2,Ecosystem conversion|Ecosystem degradation,
209668480,2.1.3,Agro-industry farming,1.1|1.2,Ecosystem conversion|Ecosystem degradation,
209668480,9.3.3,Herbicides and pesticides,1.2,Ecosystem degradation,
209668480,7.2.3,Abstraction of surface water (agricultural use),1.2,Ecosystem degradation,
209668480,8.1.2,Named species,2.1,Species mortality,Unknown
209668480,11.5,Other impacts,2.2|2.3.7,Species disturbance|Reduced reproductive success,
157146680,11.4,Storms & flooding,1.1|1.2|2.1|2.2,Ecosystem conversion|Ecosystem degradation|Species mortality|Species disturbance,Unknown
157146680,1.3,Tourism & recreation areas,1.1|1.2|2.1|2.2,Ecosystem conversion|Ecosystem degradation|Species mortality|Species disturbance,Unknown
157150683,2.1.2,Small-holder farming,,,
157150683,2.2.1,Small-holder plantations,,,
157150683,3.2,Mining & quarrying,,,
158847184,2.2.1,Small-holder plantations,,,
158847184,2.2.2,Agro-industry plantations,,,
158847184,2.1.2,Small-holder farming,,,
158847184,2.1.3,Agro-industry farming,,,
159074166,11.4,Storms & flooding,1.1|1.2|2.1|2.2,Ecosystem conversion|Ecosystem degradation|Species mortality|Species disturbance,Unknown
159074166,1.3,Tourism & recreation areas,1.1|1.2|2.1|2.2,Ecosystem conversion|Ecosystem degradation|Species mortality|Species disturbance,Unknown
159079094,2.2.1,Small-holder plantations,,,
159079094,2.2.2,Agro-industry plantations,,,
159079094,2.1.2,Small-holder farming,,,
159079094,2.1.3,Agro-industry farming,,,
159079733,2.1.3,Agro-industry farming,,,
159079733,2.1.2,Small-holder farming,,,
159079733,2.2.2,Agro-industry plantations,,,
159079733,2.2.1,Small-holder plantations,,,
159080036,2.2.1,Small-holder plantations,,,
159080036,2.2.2,Agro-industry plantations,,,
159080036,2.1.2,Small-holder farming,,,
159080036,2.1.3,Agro-industry farming,,,
159080601,2.1.3,Agro-industry farming,,,
159080601,2.1.2,Small-holder farming,,,
159080601,2.2.2,Agro-industry plantations,,,
159080601,2.2.1,Small-holder plantations,,,
159103471,11.4,Storms & flooding,1.1|1.2|2.1|2.2,Ecosystem conversion|Ecosystem degradation|Species mortality|Species disturbance,Unknown
159103471,1.3,Tourism & recreation areas,1.1|1.2|2.1|2.2,Ecosystem conversion|Ecosystem degradation|Species mortality|Species disturbance,Unknown
159104035,2.1.3,Agro-industry farming,,,
159104035,2.1.2,Small-holder farming,,,
159104035,2.2.1,Small-holder plantations,,,
159104035,2.2.2,Agro-industry plantations,,,
159121187,2.1.3,Agro-industry farming,,,
159121187,2.1.2,Small-holder farming,,,
159121187,2.2.2,Agro-industry plantations,,,
159121187,2.2.1,Small-holder plantations,,,
54478,2.1.2,Small-holder farming,1.1|1.2,Ecosystem conversion|Ecosystem degradation,
54478,2.1.3,Agro-industry farming,1.1|1.2,Ecosystem conversion|Ecosystem degradation,
54478,9.4,Garbage & solid waste,1.2,Ecosystem degradation,
54478,11.1,Habitat shifting & alteration,1.1|1.2,Ecosystem conversion|Ecosystem degradation,
54478,6.1,Recreational activities,1.2,Ecosystem degradation,
54478,7.2.3,Abstraction of surface water (agricultural use),1.2,Ecosystem degradation,
54478,8.2.2,Named species,2.1,Species mortality,Unknown
54584,2.2.2,Agro-industry plantations,1.1|1.2,Ecosystem conversion|Ecosystem degradation,
54584,2.1.3,Agro-industry farming,1.1|1.2,Ecosystem conversion|Ecosystem degradation,
54584,1.1,Housing & urban areas,1.1|1.2,Ecosystem conversion|Ecosystem degradation,
54584,9.4,Garbage & solid waste,1.2,Ecosystem degradation,
54584,6.1,Recreational activities,1.2,Ecosystem degradation,
54584,8.1.2,Named species,2.1,Species mortality,
54584,11.1,Habitat shifting & alteration,1.1|1.2,Ecosystem conversion|Ecosystem degradation,
54584,11.2,Droughts,1.2,Ecosystem degradation,
54593,4.1,Roads & railroads,1.2|2.1,Ecosystem degradation|Species mortality,
54593,2.1.2,Small-holder farming,1.1|1.2,Ecosystem conversion|Ecosystem degradation,
54593,2.1.3,Agro-industry farming,1.1|1.2,Ecosystem conversion|Ecosystem degradation,
54593,9.3.3,Herbicides and pesticides,1.2,Ecosystem degradation,
54684,1.3,Tourism & recreation areas,1.1|1.2,Ecosystem conversion|Ecosystem degradation,
54684,3.2,Mining & quarrying,1.1|1.2,Ecosystem conversion|Ecosystem degradation,
54684,3.3,Renewable energy,1.1|1.2,Ecosystem conversion|Ecosystem degradation,
54684,11.1,Habitat shifting & alteration,1.2|2.1,Ecosystem degradation|Species mortality,
58203,7.2.1,Abstraction of surface water (domestic use),1.2,Ecosystem degradation,
58203,7.2.3,Abstraction of surface water (agricultural use),1.2,Ecosystem degradation,
58203,7.2.9,Small dams,1.2,Ecosystem degradation,
58203,7.2.10,Large dams,1.2,Ecosystem degradation,
58203,8.1.2,Named species,2.1,Species mortality,Unknown
58273,2.1.3,Agro-industry farming,1.1|1.2,Ecosystem conversion|Ecosystem degradation,
58273,9.3.3,Herbicides and pesticides,2.1|2.3.7,Species mortality|Reduced reproductive success,Unknown
58273,1.1,Housing & urban areas,1.1|1.2,Ecosystem conversion|Ecosystem degradation,
197660098,2.1.3,Agro-industry farming,1.1|1.2,Ecosystem conversion|Ecosystem degradation,
197660098,2.1.1,Shifting agriculture,1.1|1.2,Ecosystem conversion|Ecosystem degradation,
197660098,4.1,Roads & railroads,1.2,Ecosystem degradation,
197660098,1.1,Housing & urban areas,1.1|1.2,Ecosystem conversion|Ecosystem degradation,
197660098,11.5,Other impacts,1.2,Ecosystem degradation,
197660098,5.3.3,Unintentional effects: (subsistence/small scale) [harvest],1.2,Ecosystem degradation,
197660098,11.1,Habitat shifting & alteration,1.2|2.1|2.2,Ecosystem degradation|Species mortality|Species disturbance,
197660098,8.1.2,Named species,2.1,Species mortality,Unknown
58312,2.1.3,Agro-industry farming,1.1|1.2,Ecosystem conversion|Ecosystem degradation,
58312,2.2.2,Agro-industry plantations,1.1|1.2,Ecosystem conversion|Ecosystem degradation,
58312,2.1.2,Small-holder farming,1.1|1.2,Ecosystem conversion|Ecosystem degradation,
58312,8.1.2,Named species,2.1,Species mortality,Unknown
58312,7.3,Other ecosystem modifications,2.2,Species disturbance,
58312,5.3.3,Unintentional effects: (subsistence/small scale) [harvest],1.2,Ecosystem degradation,
58312,11.1,Habitat shifting & alteration,1.2|2.1|2.2,Ecosystem degradation|Species mortality|Species disturbance,
58314,9.3.3,Herbicides and pesticides,1.1|1.2,Ecosystem conversion|Ecosystem degradation,Unknown
58314,4.1,Roads & railroads,2.1,Species mortality,Unknown
58314,9.4,Garbage & solid waste,1.1|1.2,Ecosystem conversion|Ecosystem degradation,Unknown
58314,2.3.4,Scale Unknown/Unrecorded,1.1|1.2,Ecosystem conversion|Ecosystem degradation,Unknown
58314,8.1.2,Named species,2.1,Species mortality,Unknown
58314,11.5,Other impacts,2.3.7,Reduced reproductive success,
58314,5.3.3,Unintentional effects: (subsistence/small scale) [harvest],1.2,Ecosystem degradation,
58377,9.3.3,Herbicides and pesticides,1.2,Ecosystem degradation,
58377,8.1.2,Named species,2.1,Species mortality,Unknown
58377,7.2.9,Small dams,1.1|1.2,Ecosystem conversion|Ecosystem degradation,
58377,2.1.2,Small-holder farming,1.1|1.2,Ecosystem conversion|Ecosystem degradation,
58377,11.4,Storms & flooding,1.2|2.1,Ecosystem degradation|Species mortality,
58377,6.1,Recreational activities,1.2|2.2,Ecosystem degradation|Species disturbance,
58377,7.2.3,Abstraction of surface water (agricultural use),1.2,Ecosystem degradation,
58379,2.1.2,Small-holder farming,1.1|1.2,Ecosystem conversion|Ecosystem degradation,
58379,9.3.3,Herbicides and pesticides,1.2,Ecosystem degradation,
58379,9.3.2,"Soil erosion, sedimentation",1.2,Ecosystem degradation,
58379,9.4,Garbage & solid waste,1.2,Ecosystem degradation,
58379,7.2.3,Abstraction of surface water (agricultural use),1.2,Ecosystem degradation,
58379,8.1.2,Named species,2.1,Species mortality,Unknown
58379,11.5,Other impacts,1.2|2.3.7,Ecosystem degradation|Reduced reproductive success,
58379,1.1,Housing & urban areas,1.1|1.2,Ecosystem conversion|Ecosystem degradation,
58379,4.1,Roads & railroads,1.1|1.2,Ecosystem conversion|Ecosystem degradation,
58379,1.3,Tourism & recreation areas,1.1|1.2,Ecosystem conversion|Ecosystem degradation,
58379,6.1,Recreational activities,1.2|2.2,Ecosystem degradation|Species disturbance,
58383,2.1.2,Small-holder farming,1.1|1.2,Ecosystem conversion|Ecosystem degradation,Unknown
58383,9.3.3,Herbicides and pesticides,1.2,Ecosystem degradation,
58383,5.3.3,Unintentional effects: (subsistence/small scale) [harvest],1.2,Ecosystem degradation,
58383,8.1.2,Named species,2.1,Species mortality,Unknown
58383,11.3,Temperature extremes,1.2|2.1,Ecosystem degradation|Species mortality,
58383,11.1,Habitat shifting & alteration,1.1|1.2,Ecosystem conversion|Ecosystem degradation,
58383,8.1.1,Unspecified species,1.2|2.2,Ecosystem degradation|Species disturbance,
58385,11.1,Habitat shifting & alteration,2.1|2.2,Species mortality|Species disturbance,
58385,7.2.3,Abstraction of surface water (agricultural use),1.2,Ecosystem degradation,
58385,7.2.9,Small dams,1.2,Ecosystem degradation,
58385,8.1.2,Named species,2.1,Species mortality,Unknown
58385,1.1,Housing & urban areas,1.1|1.2,Ecosystem conversion|Ecosystem degradation,
58385,2.1.2,Small-holder farming,1.1|1.2,Ecosystem conversion|Ecosystem degradation,
58385,2.1.3,Agro-industry farming,1.1|1.2,Ecosystem conversion|Ecosystem degradation,
58385,9.3.3,Herbicides and pesticides,1.2,Ecosystem degradation,
58387,9.3.3,Herbicides and pesticides,1.2,Ecosystem degradation,
58387,9.4,Garbage & solid waste,1.2,Ecosystem degradation,
58387,11.1,Habitat shifting & alteration,2.1|2.2,Species mortality|Species disturbance,
58387,7.2.9,Small dams,1.1|1.2,Ecosystem conversion|Ecosystem degradation,
58387,9.1.1,Sewage,1.2,Ecosystem degradation,
58387,8.1.2,Named species,2.1,Species mortality,Unknown
58387,7.2.3,Abstraction of surface water (agricultural use),1.1|1.2,Ecosystem conversion|Ecosystem degradation,
58387,2.1.3,Agro-industry farming,1.1|1.2,Ecosystem conversion|Ecosystem degradation,
58395,4.1,Roads & railroads,2.1,Species mortality,Unknown
58395,9.4,Garbage & solid waste,1.2,Ecosystem degradation,
58395,9.3.3,Herbicides and pesticides,1.2,Ecosystem degradation,
58395,8.1.2,Named species,2.1,Species mortality,Unknown
58395,11.1,Habitat shifting & alteration,2.1|2.2,Species mortality|Species disturbance,
58395,5.3.3,Unintentional effects: (subsistence/small scale) [harvest],1.2,Ecosystem degradation,Unknown
58399,6.1,Recreational activities,2.2,Species disturbance,Unknown
58399,3.2,Mining & quarrying,1.1|1.2,Ecosystem conversion|Ecosystem degradation,Unknown
58399,4.1,Roads & railroads,2.1,Species mortality,
58399,8.1.2,Named species,2.1,Species mortality,
58401,4.1,Roads & railroads,1.2,Ecosystem degradation,Unknown
58401,6.1,Recreational activities,2.2,Species disturbance,Unknown
58401,2.1.3,Agro-industry farming,1.1|1.2,Ecosystem conversion|Ecosystem degradation,Unknown
58401,1.3,Tourism & recreation areas,1.1|1.2,Ecosystem conversion|Ecosystem degradation,Unknown
58401,2.1.2,Small-holder farming,1.1|1.2,Ecosystem conversion|Ecosystem degradation,Unknown
58401,9.3.3,Herbicides and pesticides,1.1|1.2,Ecosystem conversion|Ecosystem degradation,Unknown
58401,7.2.11,Dams (size unknown),1.1|1.2,Ecosystem conversion|Ecosystem degradation,Unknown
58401,5.3.3,Unintentional effects: (subsistence/small scale) [harvest],1.2,Ecosystem degradation,Unknown
58401,8.1.2,Named species,2.1,Species mortality,Unknown
58402,9.3.2,"Soil erosion, sedimentation",1.2,Ecosystem degradation,
58402,9.4,Garbage & solid waste,1.2,Ecosystem degradation,
58402,4.1,Roads & railroads,2.1,Species mortality,
58402,8.1.2,Named species,2.1,Species mortality,Unknown
58402,11.1,Habitat shifting & alteration,2.1|2.2,Species mortality|Species disturbance,
58402,5.3.3,Unintentional effects: (subsistence/small scale) [harvest],1.2,Ecosystem degradation,Unknown
58402,6.1,Recreational activities,1.2|2.2,Ecosystem degradation|Species disturbance,Unknown
58403,8.1.2,Named species,2.1,Species mortality,Unknown
58403,5.3.3,Unintentional effects: (subsistence/small scale) [harvest],1.2,Ecosystem degradation,
58403,2.1.2,Small-holder farming,1.1|1.2,Ecosystem conversion|Ecosystem degradation,
58404,4.1,Roads & railroads,1.2,Ecosystem degradation,Unknown
58404,1.3,Tourism & recreation areas,1.1|1.2,Ecosystem conversion|Ecosystem degradation,Unknown
58404,2.1.2,Small-holder farming,1.1|1.2,Ecosystem conversion|Ecosystem degradation,Unknown
58404,8.1.2,Named species,2.1,Species mortality,Unknown
58571,5.3.3,Unintentional effects: (subsistence/small scale) [harvest],1.2,Ecosystem degradation,Unknown
58571,11.2,Droughts,2.3.7,Reduced reproductive success,Unknown
58571,1.1,Housing & urban areas,1.1|1.2,Ecosystem conversion|Ecosystem degradation,Unknown
58571,8.1.2,Named species,1.2,Ecosystem degradation,Unknown
58571,8.1.2,Named species,2.1,Species mortality,Unknown
58571,8.1.2,Named species,2.1|2.3.2,Species mortality|Competition,Unknown
58788,9.3.3,Herbicides and pesticides,1.2,Ecosystem degradation,
58788,4.1,Roads & railroads,2.1,Species mortality,
58788,1.1,Housing & urban areas,1.1|1.2,Ecosystem conversion|Ecosystem degradation,
58829,11.3,Temperature extremes,1.2,Ecosystem degradation,
58829,8.1.2,Named species,2.1,Species mortality,Unknown
58829,11.1,Habitat shifting & alteration,1.2|2.2,Ecosystem degradation|Species disturbance,
58829,11.2,Droughts,1.2|2.2,Ecosystem degradation|Species disturbance,
58829,5.2.2,Unintentional effects (species is not the target),2.1|2.2,Species mortality|Species disturbance,
58829,9.4,Garbage & solid waste,1.2,Ecosystem degradation,
58829,5.3.3,Unintentional effects: (subsistence/small scale) [harvest],1.2|2.2,Ecosystem degradation|Species disturbance,
58847,2.1.3,Agro-industry farming,1.1|1.2,Ecosystem conversion|Ecosystem degradation,Unknown
58847,2.2.2,Agro-industry plantations,1.1|1.2,Ecosystem conversion|Ecosystem degradation,Unknown
58847,9.3.3,Herbicides and pesticides,1.2,Ecosystem degradation,
58847,8.1.2,Named species,2.1,Species mortality,
58847,11.1,Habitat shifting & alteration,1.1|1.2,Ecosystem conversion|Ecosystem degradation,
58847,4.1,Roads & railroads,1.1|1.2,Ecosystem conversion|Ecosystem degradation,
58847,7.2.11,Dams (size unknown),1.1|1.2,Ecosystem conversion|Ecosystem degradation,
58849,2.1.3,Agro-industry farming,1.1|1.2,Ecosystem conversion|Ecosystem degradation,
58849,7.1.1,Increase in fire frequency/intensity,1.2,Ecosystem degradation,
58849,8.1.2,Named species,2.1,Species mortality,Unknown
58849,2.1.2,Small-holder farming,1.1|1.2,Ecosystem conversion|Ecosystem degradation,
58849,11.1,Habitat shifting & alteration,1.2|2.1|2.2,Ecosystem degradation|Species mortality|Species disturbance,
58876,8.1.2,Named species,1.2,Ecosystem degradation,
58876,8.1.2,Named species,1.2,Ecosystem degradation,
58876,3.1,Oil & gas drilling,1.1|1.2,Ecosystem conversion|Ecosystem degradation,
58876,3.2,Mining & quarrying,1.1|1.2,Ecosystem conversion|Ecosystem degradation,
58876,12.1,Other threat,1.2,Ecosystem degradation,
58876,2.3.2,"Small-holder grazing, ranching or farming",1.1|1.2,Ecosystem conversion|Ecosystem degradation,
58876,5.3.4,Unintentional effects: (large scale) [harvest],1.1|1.2,Ecosystem conversion|Ecosystem degradation,
58903,2.1.3,Agro-industry farming,1.1|1.2,Ecosystem conversion|Ecosystem degradation,Unknown
58903,2.2.2,Agro-industry plantations,1.1|1.2,Ecosystem conversion|Ecosystem degradation,Unknown
58903,9.3.3,Herbicides and pesticides,1.1|1.2|2.3.7,Ecosystem conversion|Ecosystem degradation|Reduced reproductive success,Unknown
58903,7.1.1,Increase in fire frequency/intensity,1.2,Ecosystem degradation,
58903,2.2.1,Small-holder plantations,1.1|1.2,Ecosystem conversion|Ecosystem degradation,
58903,11.3,Temperature extremes,1.2|2.3.8,Ecosystem degradation|Other,
58903,11.5,Other impacts,1.2|2.3.7,Ecosystem degradation|Reduced reproductive success,
58903,2.1.2,Small-holder farming,1.1|1.2,Ecosystem conversion|Ecosystem degradation,
58903,6.1,Recreational activities,1.2|2.2,Ecosystem degradation|Species disturbance,
58903,11.1,Habitat shifting & alteration,1.2|2.2|2.3.7,Ecosystem degradation|Species disturbance|Reduced reproductive success,
58926,2.1.2,Small-holder farming,1.1|1.2,Ecosystem conversion|Ecosystem degradation,Unknown
58926,1.1,Housing & urban areas,1.1|1.2,Ecosystem conversion|Ecosystem degradation,Unknown
58926,2.1.3,Agro-industry farming,1.1|1.2,Ecosystem conversion|Ecosystem degradation,Unknown
58926,9.3.3,Herbicides and pesticides,1.1|1.2|2.3.7,Ecosystem conversion|Ecosystem degradation|Reduced reproductive success,Unknown
58926,9.4,Garbage & solid waste,1.2,Ecosystem degradation,
58926,6.3,Work & other activities,2.1,Species mortality,
58926,8.1.1,Unspecified species,2.1,Species mortality,
58926,8.1.2,Named species,2.1,Species mortality,Unknown
58926,2.2.1,Small-holder plantations,1.1|1.2,Ecosystem conversion|Ecosystem degradation,
58926,10.3,Avalanches/landslides,1.2|2.1,Ecosystem degradation|Species mortality,
58926,7.1.1,Increase in fire frequency/intensity,1.2,Ecosystem degradation,
58926,11.3,Temperature extremes,1.2|2.3.8,Ecosystem degradation|Other,
58926,11.5,Other impacts,1.2|2.3.7,Ecosystem degradation|Reduced reproductive success,
58926,11.1,Habitat shifting & alteration,1.2|2.1|2.2,Ecosystem degradation|Species mortality|Species disturbance,
58927,2.1.3,Agro-industry farming,1.1|1.2,Ecosystem conversion|Ecosystem degradation,
58927,2.1.2,Small-holder farming,1.1|1.2,Ecosystem conversion|Ecosystem degradation,
58927,1.3,Tourism & recreation areas,1.1|1.2,Ecosystem conversion|Ecosystem degradation,
58927,8.1.2,Named species,2.1,Species mortality,Unknown
58927,6.1,Recreational activities,1.2|2.1|2.2,Ecosystem degradation|Species mortality|Species disturbance,
58927,11.1,Habitat shifting & alteration,1.2|2.1|2.2,Ecosystem degradation|Species mortality|Species disturbance,
58927,1.1,Housing & urban areas,1.1|1.2,Ecosystem conversion|Ecosystem degradation,
58927,7.1.1,Increase in fire frequency/intensity,1.2|2.1,Ecosystem degradation|Species mortality,
58983,2.1.3,Agro-industry farming,1.1|1.2,Ecosystem conversion|Ecosystem degradation,Unknown
58983,2.1.2,Small-holder farming,1.1|1.2,Ecosystem conversion|Ecosystem degradation,Unknown
58983,9.3.3,Herbicides and pesticides,1.2,Ecosystem degradation,
58983,5.3.3,Unintentional effects: (subsistence/small scale) [harvest],1.2,Ecosystem degradation,
58983,7.2.3,Abstraction of surface water (agricultural use),1.2,Ecosystem degradation,
58983,6.3,Work & other activities,2.1,Species mortality,
58983,2.2.1,Small-holder plantations,1.1|1.2,Ecosystem conversion|Ecosystem degradation,
58983,11.1,Habitat shifting & alteration,1.2|2.3.7,Ecosystem degradation|Reduced reproductive success,
58983,4.1,Roads & railroads,1.1|1.2,Ecosystem conversion|Ecosystem degradation,
59027,2.1.3,Agro-industry farming,1.1|1.2,Ecosystem conversion|Ecosystem degradation,
59027,2.2.2,Agro-industry plantations,1.1|1.2,Ecosystem conversion|Ecosystem degradation,
59027,5.3.5,Motivation Unknown/Unrecorded,1.1|1.2,Ecosystem conversion|Ecosystem degradation,
59027,2.3.4,Scale Unknown/Unrecorded,1.1|1.2,Ecosystem conversion|Ecosystem degradation,
59027,1.1,Housing & urban areas,1.1|1.2,Ecosystem conversion|Ecosystem degradation,
59027,9.4,Garbage & solid waste,2.2,Species disturbance,
59027,11.1,Habitat shifting & alteration,1.1|1.2,Ecosystem conversion|Ecosystem degradation,
59027,6.1,Recreational activities,1.2|2.2,Ecosystem degradation|Species disturbance,
61850,9.3.3,Herbicides and pesticides,1.2,Ecosystem degradation,
61850,1.1,Housing & urban areas,1.1|1.2,Ecosystem conversion|Ecosystem degradation,
61850,4.1,Roads & railroads,1.1|1.2,Ecosystem conversion|Ecosystem degradation,
61850,2.1.2,Small-holder farming,1.1|1.2,Ecosystem conversion|Ecosystem degradation,
61885,2.1.2,Small-holder farming,1.1|1.2,Ecosystem conversion|Ecosystem degradation,Unknown
61885,2.1.3,Agro-industry farming,1.1|1.2,Ecosystem conversion|Ecosystem degradation,Unknown
61885,7.2.11,Dams (size unknown),1.1|1.2,Ecosystem conversion|Ecosystem degradation,Unknown
61885,2.2.1,Small-holder plantations,1.1|1.2,Ecosystem conversion|Ecosystem degradation,Unknown
61885,11.1,Habitat shifting & alteration,1.1|1.2,Ecosystem conversion|Ecosystem degradation,
61885,8.1.2,Named species,2.1,Species mortality,
61885,4.1,Roads & railroads,1.1|1.2,Ecosystem conversion|Ecosystem degradation,
61885,5.3.3,Unintentional effects: (subsistence/small scale) [harvest],1.1|1.2,Ecosystem conversion|Ecosystem degradation,
135879,2.1.1,Shifting agriculture,1.1|1.2,Ecosystem conversion|Ecosystem degradation,Unknown
135879,7.2.3,Abstraction of surface water (agricultural use),1.2,Ecosystem degradation,Unknown
135879,9.1.3,Type Unknown/Unrecorded,1.2,Ecosystem degradation,Unknown
135879,5.3.3,Unintentional effects: (subsistence/small scale) [harvest],1.1|1.2,Ecosystem conversion|Ecosystem degradation,Unknown
135879,4.1,Roads & railroads,1.2,Ecosystem degradation,
135879,7.2.1,Abstraction of surface water (domestic use),1.2,Ecosystem degradation,
136045,10.3,Avalanches/landslides,1.2|2.1,Ecosystem degradation|Species mortality,
136045,11.4,Storms & flooding,1.2|2.1,Ecosystem degradation|Species mortality,
136045,2.1.2,Small-holder farming,1.1|1.2,Ecosystem conversion|Ecosystem degradation,
136045,9.3.3,Herbicides and pesticides,1.2,Ecosystem degradation,
136045,8.1.2,Named species,2.1,Species mortality,Unknown
136049,1.1,Housing & urban areas,1.1|1.2,Ecosystem conversion|Ecosystem degradation,Unknown
136049,8.1.2,Named species,2.1,Species mortality,Unknown
136049,5.3.3,Unintentional effects: (subsistence/small scale) [harvest],1.1|1.2,Ecosystem conversion|Ecosystem degradation,Unknown
158638,2.1.4,Scale Unknown/Unrecorded,1.1|1.2,Ecosystem conversion|Ecosystem degradation,
158638,1.1,Housing & urban areas,1.1|1.2,Ecosystem conversion|Ecosystem degradation,
158638,3.2,Mining & quarrying,1.1|1.2,Ecosystem conversion|Ecosystem degradation,
158638,5.1.1,Intentional use (species is the target),2.1,Species mortality,
173018,1.3,Tourism & recreation areas,1.1|1.2,Ecosystem conversion|Ecosystem degradation,Unknown
173018,2.1.2,Small-holder farming,1.1|1.2,Ecosystem conversion|Ecosystem degradation,Unknown
173018,5.2.2,Unintentional effects (species is not the target),1.1,Ecosystem conversion,Unknown
173018,11.1,Habitat shifting & alteration,1.2|2.1|2.2,Ecosystem degradation|Species mortality|Species disturbance,
173018,8.1.2,Named species,2.1,Species mortality,Unknown
186160,2.1.3,Agro-industry farming,1.1|1.2,Ecosystem conversion|Ecosystem degradation,
186160,9.3.3,Herbicides and pesticides,1.1,Ecosystem conversion,
186160,4.1,Roads & railroads,2.1,Species mortality,
186160,8.1.2,Named species,2.1,Species mortality,Unknown
186160,7.1.3,Trend Unknown/Unrecorded,2.1|2.2,Species mortality|Species disturbance,
186160,6.3,Work & other activities,1.2,Ecosystem degradation,
186161,2.1.3,Agro-industry farming,1.1|1.2,Ecosystem conversion|Ecosystem degradation,
186161,1.3,Tourism & recreation areas,1.1|1.2,Ecosystem conversion|Ecosystem degradation,Unknown
186161,9.3.3,Herbicides and pesticides,1.2,Ecosystem degradation,
186163,1.3,Tourism & recreation areas,1.1|1.2,Ecosystem conversion|Ecosystem degradation,
186163,2.1.3,Agro-industry farming,1.1|1.2,Ecosystem conversion|Ecosystem degradation,
186163,2.1.2,Small-holder farming,1.1|1.2,Ecosystem conversion|Ecosystem degradation,
186165,2.1.2,Small-holder farming,1.1|1.2,Ecosystem conversion|Ecosystem degradation,Unknown
186165,1.3,Tourism & recreation areas,1.1|1.2,Ecosystem conversion|Ecosystem degradation,Unknown
186165,2.1.3,Agro-industry farming,1.1|1.2,Ecosystem conversion|Ecosystem degradation,Unknown
186165,6.1,Recreational activities,2.2,Species disturbance,
186166,2.1.3,Agro-industry farming,1.1|1.2,Ecosystem conversion|Ecosystem degradation,Unknown
186166,2.1.2,Small-holder farming,1.1|1.2,Ecosystem conversion|Ecosystem degradation,Unknown
186166,8.1.2,Named species,2.1,Species mortality,
186166,11.1,Habitat shifting & alteration,1.1|1.2,Ecosystem conversion|Ecosystem degradation,
186166,9.3.3,Herbicides and pesticides,1.2|2.2,Ecosystem degradation|Species disturbance,
187830,2.1.3,Agro-industry farming,1.1|1.2,Ecosystem conversion|Ecosystem degradation,Unknown
187830,6.1,Recreational activities,1.2|2.2,Ecosystem degradation|Species disturbance,Unknown
187830,2.1.2,Small-holder farming,1.1|1.2,Ecosystem conversion|Ecosystem degradation,Unknown
189700,5.3.5,Motivation Unknown/Unrecorded,1.1|1.2,Ecosystem conversion|Ecosystem degradation,Unknown
189700,2.1.3,Agro-industry farming,1.1|1.2,Ecosystem conversion|Ecosystem degradation,Unknown
189700,2.1.2,Small-holder farming,1.1|1.2,Ecosystem conversion|Ecosystem degradation,Unknown
189700,1.3,Tourism & recreation areas,1.1|1.2,Ecosystem conversion|Ecosystem degradation,Unknown
189700,3.2,Mining & quarrying,1.1|1.2,Ecosystem conversion|Ecosystem degradation,
189700,3.3,Renewable energy,1.1|1.2,Ecosystem conversion|Ecosystem degradation,
189700,11.1,Habitat shifting & alteration,1.2|2.1|2.3.7,Ecosystem degradation|Species mortality|Reduced reproductive success,
189700,11.5,Other impacts,1.2|2.1|2.3.7,Ecosystem degradation|Species mortality|Reduced reproductive success,
78521208,5.3.3,Unintentional effects: (subsistence/small scale) [harvest],1.2,Ecosystem degradation,
78521208,4.1,Roads & railroads,1.1|1.2,Ecosystem conversion|Ecosystem degradation,
78521208,2.1.2,Small-holder farming,1.1|1.2,Ecosystem conversion|Ecosystem degradation,
78521208,9.4,Garbage & solid waste,1.2,Ecosystem degradation,
78521208,7.2.1,Abstraction of surface water (domestic use),1.2,Ecosystem degradation,
